patient_A,patient_B,A_votes,B_votes,total_responses,outcome,preferred
P07,P19,3,0,3,0,P07
P07,P20,3,4,7,1,P20
P07,P21,1,0,1,0,P07
P07,P22,1,0,1,0,P07
P07,P23,3,2,5,0,P07
P07,P24,2,0,2,0,P07
P07,P25,1,3,4,1,P25
P07,P26,1,0,1,0,P07
P07,P27,2,1,3,0,P07
P07,P28,2,0,2,0,P07
P07,P30,0,1,1,1,P30
P08,P04,2,0,2,0,P08
P08,P05,6,0,6,0,P08
P08,P06,2,0,2,0,P08
P08,P07,0,2,2,1,P07
P08,P09,13,103,116,1,P09
P08,P10,0,2,2,1,P10
P08,P11,0,2,2,1,P11
P08,P12,0,2,2,1,P12
P08,P13,1,0,1,0,P08
P08,P14,0,2,2,1,P14
P08,P15,0,2,2,1,P15
P08,P18,2,0,2,0,P08
P08,P21,0,1,1,1,P21
P08,P24,0,2,2,1,P24
P08,P25,0,1,1,1,P25
P08,P26,2,0,2,0,P08
P08,P27,0,3,3,1,P27
P08,P29,0,3,3,1,P29
P08,P30,0,4,4,1,P30
P09,P02,2,0,2,0,P09
P09,P03,0,4,4,1,P03
P09,P04,1,0,1,0,P09
P09,P06,3,0,3,0,P09
P09,P07,0,3,3,1,P07
P09,P08,102,6,108,0,P09
P09,P10,1,0,1,0,P09
P09,P12,0,1,1,1,P12
P09,P13,1,0,1,0,P09
P09,P14,2,1,3,0,P09
P09,P15,1,0,1,0,P09
P09,P17,4,0,4,0,P09
P09,P18,4,0,4,0,P09
P09,P19,2,0,2,0,P09
P09,P21,3,0,3,0,P09
P09,P22,1,0,1,0,P09
P09,P23,2,1,3,0,P09
P09,P24,0,1,1,1,P24
P09,P26,2,0,2,0,P09
P09,P28,1,0,1,0,P09
P09,P29,2,0,2,0,P09
P10,P02,1,0,1,0,P10
P10,P03,0,3,3,1,P03
P10,P04,0,3,3,1,P04
P10,P05,1,0,1,0,P10
P10,P07,0,1,1,1,P07
P10,P08,3,0,3,0,P10
P10,P09,1,0,1,0,P10
P10,P11,42,62,104,1,P11
P10,P15,2,1,3,0,P10
P10,P17,0,1,1,1,P17
P10,P19,2,1,3,0,P10
P10,P20,2,0,2,0,P10
P10,P21,3,2,5,0,P10
P10,P23,2,1,3,0,P10
P10,P24,0,1,1,1,P24
P10,P25,1,3,4,1,P25
P10,P26,1,0,1,0,P10
P10,P27,0,2,2,1,P27
P10,P28,1,0,1,0,P10
P10,P29,0,1,1,1,P29
P11,P02,3,0,3,0,P11
P11,P04,3,0,3,0,P11
P11,P05,3,0,3,0,P11
P11,P06,1,0,1,0,P11
P11,P07,0,1,1,1,P07
P11,P08,2,0,2,0,P11
P11,P10,63,53,116,0,P11
P11,P12,0,2,2,1,P12
P11,P13,1,0,1,0,P11
P11,P16,1,2,3,1,P16
P11,P17,3,0,3,0,P11
P11,P18,1,0,1,0,P11
P11,P19,0,3,3,1,P19
P11,P20,0,1,1,1,P20
P11,P21,0,2,2,1,P21
P11,P23,2,0,2,0,P11
P11,P24,1,2,3,1,P24
P11,P27,0,1,1,1,P27
P11,P28,1,0,1,0,P11
P11,P29,1,0,1,0,P11
P12,P02,2,0,2,0,P12
P12,P04,1,0,1,0,P12
P12,P05,1,0,1,0,P12
P12,P06,1,0,1,0,P12
P12,P08,1,0,1,0,P12
P12,P09,2,1,3,0,P12
P12,P13,2,0,2,0,P12
P12,P14,2,0,2,0,P12
P12,P15,2,0,2,0,P12
P12,P16,1,0,1,0,P12
P12,P18,1,0,1,0,P12
P12,P19,1,0,1,0,P12
P12,P20,0,1,1,1,P20
P12,P21,1,0,1,0,P12
P12,P22,3,0,3,0,P12
P12,P23,3,0,3,0,P12
P12,P24,1,0,1,0,P12
P12,P25,1,0,1,0,P12
P12,P26,1,0,1,0,P12
P12,P27,2,0,2,0,P12
P12,P28,0,2,2,1,P28
P12,P29,1,0,1,0,P12
P13,P03,0,2,2,1,P03
P13,P04,1,3,4,1,P04
P13,P05,2,0,2,0,P13
P13,P06,2,0,2,0,P13
P13,P08,0,1,1,1,P08
P13,P09,0,3,3,1,P09
P13,P10,0,2,2,1,P10
P13,P11,0,1,1,1,P11
P13,P12,0,2,2,1,P12
P13,P14,0,1,1,1,P14
P13,P16,0,2,2,1,P16
P13,P20,0,1,1,1,P20
P13,P21,0,4,4,1,P21
P13,P22,0,1,1,1,P22
P13,P23,0,3,3,1,P23
P13,P24,0,2,2,1,P24
P13,P25,2,1,3,0,P13
P13,P30,0,1,1,1,P30
P14,P04,3,0,3,0,P14
P14,P05,1,0,1,0,P14
P14,P06,4,0,4,0,P14
P14,P08,1,0,1,0,P14
P14,P09,1,0,1,0,P14
P14,P11,1,2,3,1,P11
P14,P12,0,1,1,1,P12
P14,P15,0,1,1,1,P15
P14,P16,1,0,1,0,P14
P14,P20,1,0,1,0,P14
P14,P22,2,1,3,0,P14
P14,P23,2,0,2,0,P14
P14,P24,2,0,2,0,P14
P14,P25,0,2,2,1,P25
P14,P26,1,0,1,0,P14
P14,P28,3,0,3,0,P14
P14,P29,1,0,1,0,P14
P14,P30,1,3,4,1,P30
P15,P02,1,0,1,0,P15
P15,P03,0,1,1,1,P03
P15,P04,5,2,7,0,P15
P15,P05,2,0,2,0,P15
P15,P06,1,0,1,0,P15
P15,P07,0,1,1,1,P07
P15,P08,3,0,3,0,P15
P15,P10,0,2,2,1,P10
P15,P11,1,0,1,0,P15
P15,P14,0,2,2,1,P14
P15,P17,0,1,1,1,P17
P15,P19,0,2,2,1,P19
P15,P20,1,0,1,0,P15
P15,P21,0,2,2,1,P21
P15,P26,4,0,4,0,P15
P15,P27,0,2,2,1,P27
P15,P29,0,3,3,1,P29
P15,P30,0,3,3,1,P30
P16,P02,1,0,1,0,P16
P16,P03,0,1,1,1,P03
P16,P05,4,0,4,0,P16
P16,P06,1,0,1,0,P16
P16,P08,2,0,2,0,P16
P16,P10,2,0,2,0,P16
P16,P13,2,0,2,0,P16
P16,P15,1,0,1,0,P16
P16,P18,1,0,1,0,P16
P16,P19,3,2,5,0,P16
P16,P22,1,0,1,0,P16
P16,P24,2,0,2,0,P16
P16,P25,0,1,1,1,P25
P16,P26,2,1,3,0,P16
P16,P28,2,0,2,0,P16
P16,P29,1,0,1,0,P16
P17,P02,1,0,1,0,P17
P17,P03,0,1,1,1,P03
P17,P04,1,0,1,0,P17
P17,P05,4,0,4,0,P17
P17,P06,1,0,1,0,P17
P17,P07,0,1,1,1,P07
P17,P08,2,0,2,0,P17
P17,P09,0,2,2,1,P09
P17,P11,0,3,3,1,P11
P17,P12,0,3,3,1,P12
P17,P13,3,0,3,0,P17
P17,P15,0,1,1,1,P15
P17,P19,0,1,1,1,P19
P17,P20,3,1,4,0,P17
P17,P22,1,0,1,0,P17
P17,P23,0,2,2,1,P23
P17,P25,0,1,1,1,P25
P17,P28,6,1,7,0,P17
P18,P03,1,2,3,1,P03
P18,P06,4,3,7,0,P18
P18,P07,0,1,1,1,P07
P18,P08,2,1,3,0,P18
P18,P09,1,2,3,1,P09
P18,P10,0,4,4,1,P10
P18,P11,0,2,2,1,P11
P18,P12,0,4,4,1,P12
P18,P14,0,1,1,1,P14
P18,P15,0,1,1,1,P15
P18,P16,1,3,4,1,P16
P18,P20,0,1,1,1,P20
P18,P21,0,3,3,1,P21
P18,P22,0,1,1,1,P22
P18,P27,0,1,1,1,P27
P18,P28,4,0,4,0,P18
P18,P29,1,2,3,1,P29
P18,P30,0,2,2,1,P30
P19,P03,0,1,1,1,P03
P19,P04,0,1,1,1,P04
P19,P05,1,0,1,0,P19
P19,P07,0,1,1,1,P07
P19,P09,0,2,2,1,P09
P19,P10,0,2,2,1,P10
P19,P11,0,1,1,1,P11
P19,P12,0,5,5,1,P12
P19,P13,6,0,6,0,P19
P19,P14,0,1,1,1,P14
P19,P15,2,1,3,0,P19
P19,P17,0,3,3,1,P17
P19,P18,1,0,1,0,P19
P19,P20,0,1,1,1,P20
P19,P21,1,0,1,0,P19
P19,P22,2,1,3,0,P19
P19,P24,0,1,1,1,P24
P19,P25,0,2,2,1,P25
P19,P26,2,0,2,0,P19
P19,P28,1,0,1,0,P19
P19,P29,0,4,4,1,P29
P19,P30,4,0,4,0,P19
P20,P02,5,0,5,0,P20
P20,P03,0,8,8,1,P03
P20,P04,2,1,3,0,P20
P20,P05,2,1,3,0,P20
P20,P06,4,0,4,0,P20
P20,P09,0,5,5,1,P09
P20,P10,0,2,2,1,P10
P20,P11,3,0,3,0,P20
P20,P13,2,0,2,0,P20
P20,P14,0,1,1,1,P14
P20,P15,3,0,3,0,P20
P20,P16,0,3,3,1,P16
P20,P17,0,2,2,1,P17
P20,P19,1,2,3,1,P19
P20,P21,1,4,5,1,P21
P20,P22,2,0,2,0,P20
P20,P24,0,4,4,1,P24
P20,P25,0,3,3,1,P25
P20,P26,1,0,1,0,P20
P20,P27,1,2,3,1,P27
P20,P28,1,2,3,1,P28
P20,P29,0,2,2,1,P29
P20,P30,1,4,5,1,P30
P21,P02,3,0,3,0,P21
P21,P03,0,3,3,1,P03
P21,P04,1,2,3,1,P04
P21,P05,4,0,4,0,P21
P21,P07,0,1,1,1,P07
P21,P09,0,1,1,1,P09
P21,P10,0,1,1,1,P10
P21,P11,1,2,3,1,P11
P21,P12,0,1,1,1,P12
P21,P13,0,2,2,1,P13
P21,P15,1,0,1,0,P21
P21,P17,3,2,5,0,P21
P21,P18,0,2,2,1,P18
P21,P19,2,1,3,0,P21
P21,P23,1,0,1,0,P21
P21,P25,2,1,3,0,P21
P21,P26,3,0,3,0,P21
P21,P27,0,2,2,1,P27
P21,P28,3,0,3,0,P21
P21,P29,1,0,1,0,P21
P22,P02,1,0,1,0,P22
P22,P03,0,3,3,1,P03
P22,P04,4,2,6,0,P22
P22,P05,3,0,3,0,P22
P22,P07,0,2,2,1,P07
P22,P08,2,0,2,0,P22
P22,P09,3,1,4,0,P22
P22,P11,1,0,1,0,P22
P22,P12,0,1,1,1,P12
P22,P13,1,2,3,1,P13
P22,P14,0,1,1,1,P14
P22,P15,2,0,2,0,P22
P22,P16,0,3,3,1,P16
P22,P17,2,1,3,0,P22
P22,P18,1,0,1,0,P22
P22,P19,0,2,2,1,P19
P22,P20,1,0,1,0,P22
P22,P21,1,0,1,0,P22
P22,P23,0,2,2,1,P23
P22,P24,1,0,1,0,P22
P22,P25,0,1,1,1,P25
P22,P26,3,0,3,0,P22
P22,P27,0,4,4,1,P27
P22,P28,1,0,1,0,P22
P22,P29,0,1,1,1,P29
P23,P02,2,0,2,0,P23
P23,P03,0,4,4,1,P03
P23,P05,3,0,3,0,P23
P23,P06,1,0,1,0,P23
P23,P08,4,0,4,0,P23
P23,P09,0,5,5,1,P09
P23,P11,0,1,1,1,P11
P23,P12,0,3,3,1,P12
P23,P14,1,2,3,1,P14
P23,P15,2,0,2,0,P23
P23,P16,0,2,2,1,P16
P23,P18,1,0,1,0,P23
P23,P19,4,0,4,0,P23
P23,P20,1,0,1,0,P23
P23,P25,1,2,3,1,P25
P23,P26,0,1,1,1,P26
P23,P27,1,4,5,1,P27
P23,P30,1,0,1,0,P23
P24,P02,2,0,2,0,P24
P24,P03,0,1,1,1,P03
P24,P05,3,0,3,0,P24
P24,P06,2,0,2,0,P24
P24,P07,0,3,3,1,P07
P24,P08,1,0,1,0,P24
P24,P09,0,2,2,1,P09
P24,P10,0,1,1,1,P10
P24,P11,4,1,5,0,P24
P24,P12,0,2,2,1,P12
P24,P15,1,0,1,0,P24
P24,P16,0,1,1,1,P16
P24,P18,1,0,1,0,P24
P24,P22,1,0,1,0,P24
P24,P23,1,0,1,0,P24
P24,P25,0,3,3,1,P25
P24,P26,4,0,4,0,P24
P24,P28,2,0,2,0,P24
P25,P02,1,0,1,0,P25
P25,P03,0,2,2,1,P03
P25,P04,4,0,4,0,P25
P25,P05,2,0,2,0,P25
P25,P06,2,0,2,0,P25
P25,P07,1,0,1,0,P25
P25,P10,4,0,4,0,P25
P25,P11,1,0,1,0,P25
P25,P12,1,0,1,0,P25
P25,P13,2,0,2,0,P25
P25,P15,1,0,1,0,P25
P25,P16,1,0,1,0,P25
P25,P17,2,0,2,0,P25
P25,P18,2,0,2,0,P25
P25,P20,1,0,1,0,P25
P25,P21,3,0,3,0,P25
P25,P22,1,0,1,0,P25
P25,P23,2,1,3,0,P25
P25,P26,2,0,2,0,P25
P25,P27,6,0,6,0,P25
P25,P28,2,0,2,0,P25
P25,P29,1,0,1,0,P25
P25,P30,1,0,1,0,P25
P26,P02,1,0,1,0,P26
P26,P03,0,2,2,1,P03
P26,P04,0,1,1,1,P04
P26,P05,2,0,2,0,P26
P26,P06,1,2,3,1,P06
P26,P07,0,1,1,1,P07
P26,P08,1,0,1,0,P26
P26,P09,0,2,2,1,P09
P26,P10,0,1,1,1,P10
P26,P11,0,1,1,1,P11
P26,P13,2,0,2,0,P26
P26,P14,0,1,1,1,P14
P26,P15,0,3,3,1,P15
P26,P16,0,3,3,1,P16
P26,P17,1,0,1,0,P26
P26,P19,0,1,1,1,P19
P26,P20,0,1,1,1,P20
P26,P21,0,1,1,1,P21
P26,P22,0,3,3,1,P22
P26,P23,0,1,1,1,P23
P26,P25,0,2,2,1,P25
P26,P27,0,3,3,1,P27
P26,P28,0,3,3,1,P28
P26,P30,0,1,1,1,P30
P27,P02,1,0,1,0,P27
P27,P03,0,3,3,1,P03
P27,P05,8,0,8,0,P27
P27,P07,0,2,2,1,P07
P27,P08,1,0,1,0,P27
P27,P09,0,2,2,1,P09
P27,P10,1,0,1,0,P27
P27,P11,0,1,1,1,P11
P27,P12,4,2,6,0,P27
P27,P13,1,0,1,0,P27
P27,P18,1,0,1,0,P27
P27,P19,1,0,1,0,P27
P27,P24,2,0,2,0,P27
P27,P25,0,1,1,1,P25
P27,P26,3,0,3,0,P27
P27,P28,2,0,2,0,P27
P27,P30,0,2,2,1,P30
P28,P02,1,0,1,0,P28
P28,P07,0,2,2,1,P07
P28,P09,0,1,1,1,P09
P28,P12,0,1,1,1,P12
P28,P14,0,1,1,1,P14
P28,P15,1,0,1,0,P28
P28,P17,1,0,1,0,P28
P28,P19,0,1,1,1,P19
P28,P20,2,1,3,0,P28
P28,P21,0,2,2,1,P21
P28,P22,0,1,1,1,P22
P28,P23,1,2,3,1,P23
P28,P24,0,3,3,1,P24
P28,P25,0,1,1,1,P25
P28,P26,3,1,4,0,P28
P28,P27,0,3,3,1,P27
P28,P29,0,1,1,1,P29
P28,P30,1,0,1,0,P28
P29,P02,3,0,3,0,P29
P29,P07,0,1,1,1,P07
P29,P10,1,0,1,0,P29
P29,P13,2,0,2,0,P29
P29,P16,0,3,3,1,P16
P29,P18,4,0,4,0,P29
P29,P19,0,1,1,1,P19
P29,P20,3,2,5,0,P29
P29,P21,1,0,1,0,P29
P29,P24,0,1,1,1,P24
P29,P25,0,2,2,1,P25
P29,P27,0,1,1,1,P27
P29,P28,3,0,3,0,P29
P30,P02,1,0,1,0,P30
P30,P03,0,2,2,1,P03
P30,P04,3,0,3,0,P30
P30,P05,1,0,1,0,P30
P30,P06,5,1,6,0,P30
P30,P12,0,3,3,1,P12
P30,P13,0,1,1,1,P13
P30,P14,1,0,1,0,P30
P30,P15,1,0,1,0,P30
P30,P16,0,2,2,1,P16
P30,P17,3,0,3,0,P30
P30,P18,1,0,1,0,P30
P30,P19,1,0,1,0,P30
P30,P21,2,0,2,0,P30
P30,P22,0,1,1,1,P22
P30,P25,0,2,2,1,P25
P30,P26,0,2,2,1,P26
P30,P28,1,0,1,0,P30
